10.66.104.188|0.0000|0.0000
108.220.228.9|37.7221|-121.0376
130.185.109.243|51.0000|9.0000
157.55.39.46|47.6801|-122.1206
162.218.197.8|40.5898|-97.8526
172.56.38.100|37.8044|-122.2708
178.255.215.68|48.8600|2.3500
180.150.98.66|-38.3818|142.4880
180.76.5.166|39.9289|116.3883
180.76.5.196|39.9289|116.3883
184.8.105.188|38.4088|-121.3716
199.101.134.200|26.1209|-80.1273
199.101.134.202|26.1209|-80.1273
201.150.36.119|19.4342|-99.1386
201.49.59.18|-10.0000|-55.0000
204.195.62.107|38.3900|-121.8180
205.225.241.126|38.5816|-121.4944
211.24.3.229|3.1667|101.7000
211.24.52.10|3.1667|101.7000
216.24.94.139|37.8194|-79.7398
